               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,             0.04584,             0.17715,                   0,             0.80055,             0.73033,             0.80154,             0.38388,            0.046088,             0.20214,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.045868,             0.17739,                   0,             0.80482,              0.7274,             0.80067,             0.38281,            0.046055,             0.20259,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.046188,             0.18176,                   0,             0.80145,             0.72808,             0.80096,             0.38401,            0.046053,             0.20268,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.046169,             0.17898,                   0,             0.80496,             0.72814,             0.80143,             0.38457,            0.045958,             0.20243,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.046133,             0.18329,                   0,             0.80228,             0.73004,             0.80042,             0.38466,            0.045989,             0.20231,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.045837,             0.17749,                   0,             0.80187,             0.73036,             0.80028,             0.38539,            0.045976,             0.20246,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.045546,             0.17623,                   0,             0.80369,             0.73115,             0.80114,             0.38515,            0.046032,             0.20241,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.045977,             0.17884,                   0,             0.80446,             0.73284,             0.80315,             0.38599,            0.045998,              0.2018,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.045721,             0.17653,                   0,             0.80631,              0.7286,             0.80211,             0.38552,               0.046,             0.20215,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.045958,             0.17885,                   0,             0.80583,             0.72919,             0.80109,             0.38479,            0.046042,             0.20216,                   0,            0.002014,            0.002014,            0.002014
                 123,             0.04575,             0.17886,                   0,             0.80078,             0.72947,             0.79954,               0.385,            0.045995,             0.20207,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.046067,             0.17829,                   0,             0.80627,             0.72695,             0.80239,             0.38594,            0.045984,             0.20199,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.045742,             0.17829,                   0,             0.80775,             0.73243,             0.80414,             0.38672,            0.045986,             0.20183,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.045789,             0.17996,                   0,              0.8055,             0.73161,             0.80354,             0.38673,            0.045928,              0.2017,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.045721,             0.18008,                   0,             0.80854,             0.72677,             0.80207,             0.38555,            0.045982,             0.20188,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.045642,             0.17993,                   0,             0.80808,             0.72769,             0.80302,             0.38679,            0.045957,             0.20196,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.045669,             0.17735,                   0,             0.80923,             0.72824,             0.80404,             0.38715,             0.04591,             0.20167,                   0,            0.001552,            0.001552,            0.001552
