               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.040581,             0.15816,                   0,             0.84145,             0.78699,             0.84031,             0.43491,            0.042777,             0.18858,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.041028,             0.15835,                   0,             0.84903,             0.78212,             0.84339,             0.43702,            0.042829,             0.18871,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.040416,             0.15461,                   0,             0.85475,             0.78842,             0.84706,             0.43954,            0.042596,             0.18755,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.040645,             0.15704,                   0,             0.84981,             0.78281,             0.84743,             0.44162,            0.042587,             0.18774,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.040538,             0.15874,                   0,             0.85804,             0.78631,             0.84952,             0.44457,            0.042318,             0.18726,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.040458,             0.15526,                   0,             0.85119,             0.79107,             0.84787,             0.44259,            0.042523,             0.18784,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.040002,             0.15642,                   0,             0.86254,             0.78262,             0.85102,             0.44591,            0.042396,             0.18739,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.040035,             0.15574,                   0,             0.85815,             0.78627,             0.84791,             0.44468,            0.042504,               0.187,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.040072,             0.15386,                   0,             0.85917,             0.78971,             0.85204,             0.44669,            0.042365,             0.18623,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.039969,              0.1546,                   0,             0.85447,             0.79371,              0.8481,             0.44632,            0.042281,             0.18707,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.039771,             0.15235,                   0,             0.85702,             0.79093,             0.84946,             0.44934,            0.042254,             0.18659,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.039659,             0.15279,                   0,             0.86774,             0.78751,             0.84971,             0.44897,            0.042231,             0.18604,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.039808,             0.15311,                   0,             0.86137,             0.79129,             0.85012,             0.44747,            0.042181,             0.18569,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.039908,             0.15233,                   0,             0.86673,             0.79399,              0.8551,             0.45252,            0.042131,             0.18595,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.039845,             0.15591,                   0,             0.86718,             0.79156,             0.85569,             0.45437,            0.042105,             0.18584,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.039659,              0.1507,                   0,             0.86673,             0.79798,             0.85505,             0.45524,             0.04192,             0.18516,                   0,            0.005644,            0.005644,            0.005644
                  68,             0.03962,             0.15325,                   0,             0.86846,             0.79531,             0.85366,              0.4541,            0.041985,             0.18555,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.039346,             0.15258,                   0,             0.86754,             0.79572,             0.85519,             0.45791,            0.041797,             0.18458,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.039443,             0.15099,                   0,             0.86865,              0.7921,             0.85413,              0.4565,            0.041949,             0.18477,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.039385,             0.15009,                   0,             0.86493,             0.79449,             0.85459,             0.45848,            0.041846,             0.18425,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.039428,             0.15238,                   0,             0.86719,             0.79444,             0.85117,             0.45603,            0.041854,             0.18499,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.039332,             0.15205,                   0,             0.87185,             0.79403,             0.85484,              0.4572,            0.041915,             0.18507,                   0,            0.005248,            0.005248,            0.005248
                  74,             0.03915,             0.15081,                   0,             0.87102,              0.7917,             0.85816,             0.46307,            0.041681,             0.18423,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.039239,             0.15153,                   0,             0.87075,             0.79646,             0.85797,             0.46512,            0.041543,             0.18349,                   0,            0.005116,            0.005116,            0.005116
